ENTRY	DEFINITION	EC
K00499	choline monooxygenase	1.14.15.7
K00500	phenylalanine-4-hydroxylase	1.14.16.1
K00501	tyrosine 3-monooxygenase	1.14.16.2
K00502	tryptophan 5-monooxygenase	1.14.16.4
K00503	dopamine beta-monooxygenase	1.14.17.1
K00504	peptidylglycine monooxygenase	1.14.17.3
K00505	tyrosinase	1.14.18.1
K00506	tyrosinase-related protein 1	1.14.18.-
K00507	stearoyl-CoA desaturase (Delta-9 desaturase)	1.14.19.1
K00508	linoleoyl-CoA desaturase	1.14.19.3
K00509	prostaglandin-endoperoxide synthase 1	1.14.99.1
K00510	heme oxygenase 1	1.14.14.18
K00511	squalene monooxygenase	1.14.14.17
K00512	steroid 17alpha-monooxygenase / 17alpha-hydroxyprogesterone deacetylase	1.14.14.19 1.14.14.32
K00513	steroid 21-monooxygenase	1.14.14.16
K00514	zeta-carotene desaturase	1.3.5.6
K00515	beta-carotene 15,15'-dioxygenase	1.13.11.63
K00516	lytic starch monooxygenase	1.14.99.55
K00517	indol-3-yl-methylglucosinolate hydroxylase	1.14.-.-
K00518	nickel superoxide dismutase	1.15.1.1
K00520	mercuric reductase	1.16.1.1
K00521	ferric-chelate reductase	1.16.1.7
K00522	ferritin heavy chain	1.16.3.2
K00523	CDP-4-dehydro-6-deoxyglucose reductase, E3	1.17.1.1
K00524	ribonucleotide reductase, class II	1.17.4.2
K00525	ribonucleoside-diphosphate reductase alpha chain	1.17.4.1
K00526	ribonucleoside-diphosphate reductase beta chain	1.17.4.1
K00527	ribonucleoside-triphosphate reductase (thioredoxin)	1.17.4.2
K00528	ferredoxin/flavodoxin---NADP+ reductase	1.18.1.2 1.19.1.1
K00529	3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component	1.18.1.3
K00531	nitrogenase delta subunit	1.18.6.1
K00532	ferredoxin hydrogenase	1.12.7.2
K00533	ferredoxin hydrogenase large subunit	1.12.7.2
K00534	ferredoxin hydrogenase small subunit	1.12.7.2
K00537	arsenate reductase (glutaredoxin)	1.20.4.1
K00540	F420H(2)-dependent quinone reductase	1.1.98.-
K00541	nicotinamide N-methyltransferase	2.1.1.1
K00542	guanidinoacetate N-methyltransferase	2.1.1.2
K00543	acetylserotonin O-methyltransferase	2.1.1.4
K00544	betaine-homocysteine S-methyltransferase	2.1.1.5
K00545	catechol O-methyltransferase	2.1.1.6
K00546	histamine N-methyltransferase	2.1.1.8
K00547	homocysteine S-methyltransferase	2.1.1.10
K00548	5-methyltetrahydrofolate--homocysteine methyltransferase	2.1.1.13
K00549	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase	2.1.1.14
K00550	phosphatidyl-N-methylethanolamine N-methyltransferase	2.1.1.71
K00551	phosphatidylethanolamine/phosphatidyl-N-methylethanolamine N-methyltransferase	2.1.1.17 2.1.1.71
K00552	glycine N-methyltransferase	2.1.1.20
K00553	phenylethanolamine N-methyltransferase	2.1.1.28
K00554	tRNA (guanine37-N1)-methyltransferase	2.1.1.228
K00555	tRNA (guanine26-N2/guanine27-N2)-dimethyltransferase	2.1.1.215 2.1.1.216
K00556	tRNA (guanosine-2'-O-)-methyltransferase	2.1.1.34
K00557	tRNA (uracil-5-)-methyltransferase	2.1.1.35
K00558	DNA (cytosine-5)-methyltransferase 1	2.1.1.37
K00559	sterol 24-C-methyltransferase	2.1.1.41
K00560	thymidylate synthase	2.1.1.45
K00561	23S rRNA (adenine-N6)-dimethyltransferase	2.1.1.184
K00562	methyltransferase	2.1.1.49 2.1.1.96
K00563	23S rRNA (guanine745-N1)-methyltransferase	2.1.1.187
K00564	16S rRNA (guanine1207-N2)-methyltransferase	2.1.1.172
K00565	mRNA (guanine-N7-)-methyltransferase	2.1.1.56
K00566	tRNA-uridine 2-sulfurtransferase	2.8.1.13
K00567	methylated-DNA-[protein]-cysteine S-methyltransferase	2.1.1.63
K00568	2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase	2.1.1.222 2.1.1.64
K00569	thiopurine S-methyltransferase	2.1.1.67
K00570	phosphatidylethanolamine/phosphatidyl-N-methylethanolamine N-methyltransferase	2.1.1.17 2.1.1.71
K00571	site-specific DNA-methyltransferase (adenine-specific)	2.1.1.72
K00572	wingless-type MMTV integration site family, member 7
K00573	protein-L-isoaspartate(D-aspartate) O-methyltransferase	2.1.1.77
K00574	cyclopropane-fatty-acyl-phospholipid synthase	2.1.1.79
K00575	chemotaxis protein methyltransferase CheR	2.1.1.80
K00577	tetrahydromethanopterin S-methyltransferase subunit A	2.1.1.86
K00578	tetrahydromethanopterin S-methyltransferase subunit B	2.1.1.86
K00579	tetrahydromethanopterin S-methyltransferase subunit C	2.1.1.86
K00580	tetrahydromethanopterin S-methyltransferase subunit D	2.1.1.86
K00581	tetrahydromethanopterin S-methyltransferase subunit E	2.1.1.86
K00582	tetrahydromethanopterin S-methyltransferase subunit F	2.1.1.86
K00583	tetrahydromethanopterin S-methyltransferase subunit G	2.1.1.86
K00584	tetrahydromethanopterin S-methyltransferase subunit H	2.1.1.86
K00586	diphthine methyl ester synthase	2.1.1.314
K00587	protein-S-isoprenylcysteine O-methyltransferase	2.1.1.100
K00588	caffeoyl-CoA O-methyltransferase	2.1.1.104
K00589	uroporphyrin-III C-methyltransferase	2.1.1.107
K00590	site-specific DNA-methyltransferase (cytosine-N4-specific)	2.1.1.113
K00591	polyprenyldihydroxybenzoate methyltransferase / 3-demethylubiquinol 3-O-methyltransferase	2.1.1.114 2.1.1.64
K00592	[ribulose-bisphosphate carboxylase]/[fructose-bisphosphate aldolase]-lysine N-methyltransferase	2.1.1.127 2.1.1.259
K00594	alditol oxidase	1.1.3.41
K00595	precorrin-6B C5,15-methyltransferase / cobalt-precorrin-6B C5,C15-methyltransferase	2.1.1.132 2.1.1.289 2.1.1.196
K00596	2,2-dialkylglycine decarboxylase (pyruvate)	4.1.1.64
K00597	methionine synthase reductase	1.16.1.8
K00598	trans-aconitate 2-methyltransferase	2.1.1.144
K00599	methyltransferase-like protein 6	2.1.1.-
K00600	glycine hydroxymethyltransferase	2.1.2.1
K00601	phosphoribosylglycinamide formyltransferase	2.1.2.2
K00602	phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase	2.1.2.3 3.5.4.10
K00603	glutamate formiminotransferase / 5-formyltetrahydrofolate cyclo-ligase	2.1.2.5 6.3.3.2
K00604	methionyl-tRNA formyltransferase	2.1.2.9
K00605	aminomethyltransferase	2.1.2.10
K00606	3-methyl-2-oxobutanoate hydroxymethyltransferase	2.1.2.11
K00608	aspartate carbamoyltransferase	2.1.3.2
K00609	aspartate carbamoyltransferase catalytic subunit	2.1.3.2
K00610	aspartate carbamoyltransferase regulatory subunit
K00611	ornithine carbamoyltransferase	2.1.3.3
K00612	carbamoyltransferase	2.1.3.-
K00613	glycine amidinotransferase	2.1.4.1
K00614	citrate synthase lysine N-methyltransferase	2.1.1.-
K00615	transketolase	2.2.1.1
K00616	transaldolase	2.2.1.2
K00618	amino-acid N-acetyltransferase	2.3.1.1
K00619	amino-acid N-acetyltransferase	2.3.1.1
K00620	glutamate N-acetyltransferase / amino-acid N-acetyltransferase	2.3.1.35 2.3.1.1
K00621	glucosamine-phosphate N-acetyltransferase	2.3.1.4
K00622	arylamine N-acetyltransferase	2.3.1.5
K00623	choline O-acetyltransferase	2.3.1.6
K00624	carnitine O-acetyltransferase	2.3.1.7
K00625	phosphate acetyltransferase	2.3.1.8
K00626	acetyl-CoA C-acetyltransferase	2.3.1.9
K00627	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase)	2.3.1.12
K00628	glycine N-acyltransferase / glycine N-benzoyltransferase	2.3.1.13 2.3.1.71
K00629	glycerol-3-phosphate O-acyltransferase 1/2	2.3.1.15
K00630	glycerol-3-phosphate O-acyltransferase	2.3.1.15
K00631	glycerol-3-phosphate O-acyltransferase	2.3.1.15
K00632	acetyl-CoA acyltransferase	2.3.1.16
K00633	galactoside O-acetyltransferase	2.3.1.18
K00634	phosphate butyryltransferase	2.3.1.19
K00635	diacylglycerol O-acyltransferase / wax synthase	2.3.1.20 2.3.1.75
K00637	sterol O-acyltransferase	2.3.1.26
K00638	chloramphenicol O-acetyltransferase type B	2.3.1.28
K00639	glycine C-acetyltransferase	2.3.1.29
K00640	serine O-acetyltransferase	2.3.1.30
K00641	homoserine O-acetyltransferase/O-succinyltransferase	2.3.1.31 2.3.1.46
K00643	5-aminolevulinate synthase	2.3.1.37
K00645	[acyl-carrier-protein] S-malonyltransferase	2.3.1.39
K00646	malonyl-ACP decarboxylase
K00647	3-oxoacyl-[acyl-carrier-protein] synthase I	2.3.1.41
K00648	3-oxoacyl-[acyl-carrier-protein] synthase III	2.3.1.180
K00649	glyceronephosphate O-acyltransferase	2.3.1.42
K00650	lecithin-cholesterol acyltransferase	2.3.1.43
K00651	homoserine O-succinyltransferase/O-acetyltransferase	2.3.1.46 2.3.1.31
K00652	8-amino-7-oxononanoate synthase	2.3.1.47
K00653	chromodomain protein Y	2.3.1.48
K00654	serine palmitoyltransferase	2.3.1.50
K00655	1-acyl-sn-glycerol-3-phosphate acyltransferase	2.3.1.51
K00656	formate C-acetyltransferase	2.3.1.54
K00657	diamine N-acetyltransferase	2.3.1.57
K00658	2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase)	2.3.1.61
K00659	bile acid-CoA:amino acid N-acyltransferase	2.3.1.65 3.1.2.2
K00660	chalcone synthase	2.3.1.74
K00661	maltose O-acetyltransferase	2.3.1.79
K00662	aminoglycoside 3-N-acetyltransferase	2.3.1.81
K00663	aminoglycoside 6'-N-acetyltransferase	2.3.1.82
K00664	alcohol O-acetyltransferase	2.3.1.84
K00665	fatty acid synthase, animal type	2.3.1.85
K00666	fatty-acyl-CoA synthase	6.2.1.-
K00667	fatty acid synthase subunit alpha, fungi type	2.3.1.86
K00668	fatty acid synthase subunit beta, fungi type	2.3.1.86
K00669	arylalkylamine N-acetyltransferase	2.3.1.87
K00670	N-alpha-acetyltransferase 30	2.3.1.256
K00671	glycylpeptide N-tetradecanoyltransferase	2.3.1.97
K00672	formylmethanofuran--tetrahydromethanopterin N-formyltransferase	2.3.1.101
K00673	arginine N-succinyltransferase	2.3.1.109
K00674	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	2.3.1.117
K00675	N-hydroxyarylamine O-acetyltransferase	2.3.1.118
K00677	UDP-N-acetylglucosamine acyltransferase	2.3.1.129
K00678	phosphatidylcholine-retinol O-acyltransferase	2.3.1.135
K00679	phospholipid:diacylglycerol acyltransferase	2.3.1.158
K00680	uncharacterized N-acetyltransferase	2.3.1.-
K00681	gamma-glutamyltranspeptidase / glutathione hydrolase	2.3.2.2 3.4.19.13
K00682	gamma-glutamylcyclotransferase	4.3.2.9
K00683	glutaminyl-peptide cyclotransferase	2.3.2.5
K00684	leucyl/phenylalanyl-tRNA---protein transferase	2.3.2.6
K00685	arginyl-tRNA---protein transferase	2.3.2.8
K00686	protein-glutamine gamma-glutamyltransferase	2.3.2.13
K00687	penicillin-binding protein 2B
K00688	glycogen phosphorylase	2.4.1.1
K00689	dextransucrase	2.4.1.5
K00690	sucrose phosphorylase	2.4.1.7
K00691	maltose phosphorylase	2.4.1.8
K00692	levansucrase	2.4.1.10
K00693	glycogen synthase	2.4.1.11
K00694	cellulose synthase (UDP-forming)	2.4.1.12
K00695	sucrose synthase	2.4.1.13
K00696	sucrose-phosphate synthase	2.4.1.14
K00697	trehalose 6-phosphate synthase	2.4.1.15 2.4.1.347
K00698	chitin synthase	2.4.1.16
K00699	glucuronosyltransferase	2.4.1.17
K00700	1,4-alpha-glucan branching enzyme	2.4.1.18
K00701	cyclomaltodextrin glucanotransferase	2.4.1.19
K00702	cellobiose phosphorylase	2.4.1.20
K00703	starch synthase	2.4.1.21
K00704	alpha-lactalbumin	2.4.1.22
K00705	4-alpha-glucanotransferase	2.4.1.25
K00706	1,3-beta-glucan synthase	2.4.1.34
K00709	histo-blood group ABO system transferase	2.4.1.40 2.4.1.37
K00710	polypeptide N-acetylgalactosaminyltransferase	2.4.1.41
K00712	poly(glycerol-phosphate) alpha-glucosyltransferase	2.4.1.52
K00713	UDP-glucose:(glucosyl)LPS alpha-1,2-glucosyltransferase	2.4.1.-
K00714	wingless-type MMTV integration site family, member 8
K00715	ganglioside galactosyltransferase	2.4.1.62
K00716	galactoside 3(4)-fucosyltransferase 3	2.4.1.65
K00717	glycoprotein 6-alpha-L-fucosyltransferase	2.4.1.68
K00718	galactoside 2-L-fucosyltransferase 1/2	2.4.1.69
K00719	galactosylgalactosylglucosylceramide beta-D-acetylgalactosaminyltransferase	2.4.1.79
K00720	ceramide glucosyltransferase	2.4.1.80
K00721	dolichol-phosphate mannosyltransferase	2.4.1.83
K00722	globoside alpha-N-acetylgalactosaminyltransferase	2.4.1.88
K00725	(N-Acetylneuraminyl)-galactosylglucosylceramide N-acetylgalactosaminyltransferase	2.4.1.92
K00726	alpha-1,3-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	2.4.1.101
K00727	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase	2.4.1.102
K00728	dolichyl-phosphate-mannose-protein mannosyltransferase	2.4.1.109
K00729	dolichyl-phosphate beta-glucosyltransferase	2.4.1.117
K00730	oligosaccharyl transferase complex subunit OST4
K00731	glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase	2.4.1.122
K00733	xylosylprotein 4-beta-galactosyltransferase	2.4.1.133
K00734	galactosylxylosylprotein 3-beta-galactosyltransferase	2.4.1.134
K00735	galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1	2.4.1.135
K00736	alpha-1,6-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	2.4.1.143
K00737	beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase	2.4.1.144
K00738	alpha-1,3-mannosylglycoprotein beta-1,4-N-acetylglucosaminyltransferase A/B	2.4.1.145
K00739	acetylgalactosaminyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase	2.4.1.147
K00741	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase	2.4.1.149
K00742	N-acetyllactosaminide beta-1,6-N-acetylglucosaminyltransferase	2.4.1.150
K00743	N-acetyllactosaminide 3-alpha-galactosyltransferase	2.4.1.87
K00744	alpha-1,3(6)-mannosylglycoprotein beta-1,6-N-acetyl-glucosaminyltransferase	2.4.1.155
K00746	chondroitin sulfate N-acetylgalactosaminyltransferase 1/2	2.4.1.174 2.4.1.175
K00747	chondroitin polymerizing factor	2.4.1.175 2.4.1.226
K00748	lipid-A-disaccharide synthase	2.4.1.182
K00749	alpha-1,3-glucan synthase	2.4.1.183
K00750	glycogenin	2.4.1.186
K00752	hyaluronan synthase	2.4.1.212
K00753	glycoprotein 3-alpha-L-fucosyltransferase	2.4.1.214
K00754	L-malate glycosyltransferase	2.4.1.-
K00756	pyrimidine-nucleoside phosphorylase	2.4.2.2
K00757	uridine phosphorylase	2.4.2.3
K00758	thymidine phosphorylase	2.4.2.4
K00759	adenine phosphoribosyltransferase	2.4.2.7
K00760	hypoxanthine phosphoribosyltransferase	2.4.2.8
K00761	uracil phosphoribosyltransferase	2.4.2.9
K00762	orotate phosphoribosyltransferase	2.4.2.10
K00763	nicotinate phosphoribosyltransferase	6.3.4.21
K00764	amidophosphoribosyltransferase	2.4.2.14
K00765	ATP phosphoribosyltransferase	2.4.2.17
K00766	anthranilate phosphoribosyltransferase	2.4.2.18
K00767	nicotinate-nucleotide pyrophosphorylase (carboxylating)	2.4.2.19
K00768	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	2.4.2.21
K00769	xanthine phosphoribosyltransferase	2.4.2.22
K00770	1,4-beta-D-xylan synthase	2.4.2.24
K00771	protein xylosyltransferase	2.4.2.26
K00772	5'-methylthioadenosine phosphorylase	2.4.2.28
K00773	queuine tRNA-ribosyltransferase	2.4.2.29
K00774	poly [ADP-ribose] polymerase 16	2.4.2.30
K00775	ADP-ribosyltransferase 3	2.4.2.31
K00776	NAD-diphthamide ADP-ribosyltransferase	2.4.2.36
K00777	queuine tRNA-ribosyltransferase catalytic subunit	2.4.2.64
K00778	beta-galactoside alpha-2,6-sialyltransferase (sialyltransferase 1)	2.4.99.1
K00779	beta-galactoside alpha-2,6-sialyltransferase (sialyltransferase 2)	2.4.99.1
K00780	beta-galactoside alpha-2,3-sialyltransferase (sialyltransferase 4A)	2.4.99.4
K00781	neolactotetraosylceramide alpha-2,3-sialyltransferase (sialyltransferase 6)	2.4.99.6
K00782	L-lactate dehydrogenase complex protein LldG
K00783	23S rRNA (pseudouridine1915-N3)-methyltransferase	2.1.1.177
K00784	ribonuclease Z	3.1.26.11
K00785	N-acetyllactosaminide alpha-2,3-sialyltransferase	2.4.99.6
K00786	beta-1,6-galactosyltransferase	2.4.1.-
K00787	farnesyl diphosphate synthase	2.5.1.1 2.5.1.10
K00788	thiamine-phosphate pyrophosphorylase	2.5.1.3
K00789	S-adenosylmethionine synthetase	2.5.1.6
K00790	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	2.5.1.7
K00791	tRNA dimethylallyltransferase	2.5.1.75
K00793	riboflavin synthase	2.5.1.9
K00794	6,7-dimethyl-8-ribityllumazine synthase	2.5.1.78
K00795	farnesyl diphosphate synthase	2.5.1.1 2.5.1.10
K00796	dihydropteroate synthase	2.5.1.15
K00797	spermidine synthase	2.5.1.16
K00798	cob(I)alamin adenosyltransferase	2.5.1.17
K00799	glutathione S-transferase	2.5.1.18
K00800	3-phosphoshikimate 1-carboxyvinyltransferase	2.5.1.19
K00801	farnesyl-diphosphate farnesyltransferase	2.5.1.21
K00802	spermine synthase	2.5.1.22
K00803	alkyldihydroxyacetonephosphate synthase	2.5.1.26
K00804	geranylgeranyl diphosphate synthase, type III	2.5.1.1 2.5.1.10 2.5.1.29
K00805	heptaprenyl diphosphate synthase component 1	2.5.1.30
K00806	undecaprenyl diphosphate synthase	2.5.1.31
K00807	leukotriene-C4 synthase	4.4.1.20
K00808	homospermidine synthase	2.5.1.44
K00809	deoxyhypusine synthase	2.5.1.46
K00810	menadiol prenyltransferase	2.5.1.-
K00811	aspartate aminotransferase, chloroplastic	2.6.1.1
K00812	aspartate aminotransferase	2.6.1.1
K00813	aspartate aminotransferase	2.6.1.1
K00814	alanine transaminase	2.6.1.2
K00815	tyrosine aminotransferase	2.6.1.5
K00816	kynurenine---oxoglutarate transaminase / cysteine-S-conjugate beta-lyase / glutamine---phenylpyruvate transaminase	2.6.1.7 4.4.1.13 2.6.1.64
K00817	histidinol-phosphate aminotransferase	2.6.1.9
K00818	acetylornithine aminotransferase	2.6.1.11
K00819	ornithine--oxo-acid transaminase	2.6.1.13
K00820	glutamine---fructose-6-phosphate transaminase (isomerizing)	2.6.1.16
K00821	acetylornithine/N-succinyldiaminopimelate aminotransferase	2.6.1.11 2.6.1.17
K00822	beta-alanine--pyruvate transaminase	2.6.1.18
K00823	4-aminobutyrate aminotransferase	2.6.1.19
K00824	D-alanine transaminase	2.6.1.21
K00825	kynurenine/2-aminoadipate aminotransferase	2.6.1.7 2.6.1.39
K00826	branched-chain amino acid aminotransferase	2.6.1.42
K00827	alanine-glyoxylate transaminase / (R)-3-amino-2-methylpropionate-pyruvate transaminase	2.6.1.44 2.6.1.40
K00830	alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase	2.6.1.44 2.6.1.45 2.6.1.51
K00831	phosphoserine aminotransferase	2.6.1.52
K00832	aromatic-amino-acid transaminase	2.6.1.57
K00833	adenosylmethionine---8-amino-7-oxononanoate aminotransferase	2.6.1.62
K00835	valine--pyruvate aminotransferase	2.6.1.66
K00836	diaminobutyrate-2-oxoglutarate transaminase	2.6.1.76
K00837	aromatic aminotransferase	2.6.1.-
K00838	aromatic amino acid aminotransferase I / 2-aminoadipate transaminase	2.6.1.57 2.6.1.39 2.6.1.27 2.6.1.5
K00839	(S)-ureidoglycine---glyoxylate transaminase	2.6.1.112
K00840	succinylornithine aminotransferase	2.6.1.81
K00841	aminotransferase	2.6.1.-
K00843	swainsonine biosynthesis aminotransferase SwnA	2.6.1.-
K00844	hexokinase	2.7.1.1
K00845	glucokinase	2.7.1.2
K00846	ketohexokinase	2.7.1.3
K00847	fructokinase	2.7.1.4
K00848	rhamnulokinase	2.7.1.5
K00849	galactokinase	2.7.1.6
K00850	6-phosphofructokinase 1	2.7.1.11
K00851	gluconokinase	2.7.1.12
K00852	ribokinase	2.7.1.15
K00853	L-ribulokinase	2.7.1.16
K00854	xylulokinase	2.7.1.17
K00855	phosphoribulokinase	2.7.1.19
K00856	adenosine kinase	2.7.1.20
K00857	thymidine kinase	2.7.1.21
K00858	NAD+ kinase	2.7.1.23
K00859	dephospho-CoA kinase	2.7.1.24
K00860	adenylylsulfate kinase	2.7.1.25
K00861	riboflavin kinase	2.7.1.26
K00862	erythritol kinase (D-erythritol 1-phosphate-forming)	2.7.1.215
K00863	triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing)	2.7.1.28 2.7.1.29 4.6.1.15
K00864	glycerol kinase	2.7.1.30
K00865	glycerate 2-kinase	2.7.1.165
K00866	choline kinase	2.7.1.32
K00867	type I pantothenate kinase	2.7.1.33
K00868	pyridoxine kinase	2.7.1.35
K00869	mevalonate kinase	2.7.1.36
K00871	phosphorylase kinase gamma subunit	2.7.11.19
K00872	homoserine kinase	2.7.1.39
K00873	pyruvate kinase	2.7.1.40
K00874	2-dehydro-3-deoxygluconokinase	2.7.1.45
K00875	D-ribulokinase	2.7.1.47
K00876	uridine kinase	2.7.1.48
K00877	hydroxymethylpyrimidine/phosphomethylpyrimidine kinase / thiaminase	2.7.1.49 2.7.4.7 3.5.99.2
K00878	hydroxyethylthiazole kinase	2.7.1.50
K00879	L-fuculokinase	2.7.1.51
K00880	L-xylulokinase	2.7.1.53
K00881	allose kinase	2.7.1.55
K00882	1-phosphofructokinase	2.7.1.56
K00883	2-dehydro-3-deoxygalactonokinase	2.7.1.58
K00884	N-acetylglucosamine kinase	2.7.1.59
K00885	N-acylmannosamine kinase	2.7.1.60
K00886	polyphosphate glucokinase	2.7.1.63
K00887	undecaprenol kinase	2.7.1.66
K00888	phosphatidylinositol 4-kinase A	2.7.1.67
K00889	1-phosphatidylinositol-4-phosphate 5-kinase	2.7.1.68
K00891	shikimate kinase	2.7.1.71
K00892	inosine kinase	2.7.1.73
K00893	deoxycitidine kinase	2.7.1.74
K00894	ethanolamine kinase	2.7.1.82
K00895	diphosphate-dependent phosphofructokinase	2.7.1.90
K00897	kanamycin kinase	2.7.1.95
K00898	pyruvate dehydrogenase kinase 2/3/4	2.7.11.2
K00899	5-methylthioribose kinase	2.7.1.100
K00900	6-phosphofructo-2-kinase	2.7.1.105
K00901	diacylglycerol kinase (ATP)	2.7.1.107
K00902	dolichol kinase	2.7.1.108
K00903	protein-tyrosine kinase	2.7.10.2
K00904	deoxyguanosine kinase	2.7.1.113
K00905	[3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] kinase	2.7.11.4
K00906	isocitrate dehydrogenase kinase/phosphatase	2.7.11.5 3.1.3.-
K00907	myosin-light-chain kinase	2.7.11.18
K00908	calcium/calmodulin-dependent protein kinase kinase 1	2.7.11.17
K00909	rhodopsin kinase	2.7.11.14
K00910	beta-adrenergic-receptor kinase	2.7.11.15
K00911	1D-myo-inositol-triphosphate 3-kinase	2.7.1.127
K00912	tetraacyldisaccharide 4'-kinase	2.7.1.130
K00913	inositol-1,3,4-trisphosphate 5/6-kinase / inositol-tetrakisphosphate 1-kinase	2.7.1.159 2.7.1.134
K00914	phosphatidylinositol 3-kinase	2.7.1.137
K00915	inositol-polyphosphate multikinase	2.7.1.140 2.7.1.151
K00916	CTD kinase subunit alpha	2.7.11.22 2.7.11.23
K00917	tagatose 6-phosphate kinase	2.7.1.144
K00918	ADP-dependent phosphofructokinase/glucokinase	2.7.1.146 2.7.1.147
K00919	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase	2.7.1.148
K00920	1-phosphatidylinositol-5-phosphate 4-kinase	2.7.1.149
